Price,Adj Close,Close,High,Low,Open,Volume
Ticker,JNJ,JNJ,JNJ,JNJ,JNJ,JNJ
Date,,,,,,
2014-01-02,66.11085510253906,91.02999877929688,91.7300033569336,91.01000213623047,91.13999938964844,5919600
2014-01-03,66.70639038085938,91.8499984741211,92.22000122070312,91.26000213623047,91.29000091552734,5637600
2014-01-06,67.05500030517578,92.33000183105469,92.75,91.87000274658203,91.93000030517578,7443500
2014-01-07,68.47845458984375,94.29000091552734,94.62000274658203,92.98999786376953,93.04000091552734,11063300
2014-01-08,68.38404846191406,94.16000366210938,94.5999984741211,93.87999725341797,94.16999816894531,9096700
2014-01-09,68.79801940917969,94.7300033569336,95.37999725341797,94.08999633789062,94.94000244140625,7944700
2014-01-10,68.80525970458984,94.73999786376953,94.9800033569336,94.13999938964844,94.63999938964844,6697400
2014-01-13,68.63096618652344,94.5,94.98999786376953,94.05999755859375,94.37000274658203,9589200
2014-01-14,68.79075622558594,94.72000122070312,94.9000015258789,94.31999969482422,94.5999984741211,7567300
2014-01-15,68.84884643554688,94.80000305175781,95.2699966430664,94.51000213623047,94.6500015258789,7390700
2014-01-16,68.7326431274414,94.63999938964844,95.08999633789062,94.2300033569336,94.5999984741211,8401100
2014-01-17,69.03768157958984,95.05999755859375,95.16999816894531,94.37999725341797,94.72000122070312,13714400
2014-01-21,68.28962707519531,94.02999877929688,95.0999984741211,92.62000274658203,94.93000030517578,16368400
2014-01-22,68.50022888183594,94.31999969482422,94.55000305175781,93.54000091552734,93.98999786376953,8875500
2014-01-23,67.35275268554688,92.73999786376953,93.80000305175781,92.41000366210938,93.73999786376953,9322300
2014-01-24,65.80583953857422,90.61000061035156,92.61000061035156,90.61000061035156,92.12000274658203,10604200
2014-01-27,65.31925964355469,89.94000244140625,90.76000213623047,89.8499984741211,90.30000305175781,8685200
2014-01-28,65.43547058105469,90.0999984741211,90.5999984741211,89.79000091552734,90.58000183105469,8254400
2014-01-29,64.56395721435547,88.9000015258789,89.70999908447266,88.52999877929688,89.47000122070312,11160100
2014-01-30,64.99971771240234,89.5,89.77999877929688,89.01000213623047,89.62000274658203,6874900
2014-01-31,64.25165557861328,88.47000122070312,89.33999633789062,88.1500015258789,89.01000213623047,12193800
2014-02-03,63.02429962158203,86.77999877929688,88.77999877929688,86.61000061035156,88.75,13944600
2014-02-04,62.90810775756836,86.62000274658203,87.27999877929688,86.08999633789062,86.93000030517578,11436400
2014-02-05,63.38743209838867,87.27999877929688,87.66999816894531,86.4800033569336,86.48999786376953,10667300
2014-02-06,64.45500946044922,88.75,88.76000213623047,87.55000305175781,87.62999725341797,10037900
2014-02-07,65.3918685913086,90.04000091552734,90.04000091552734,88.61000061035156,88.91999816894531,9435100
2014-02-10,66.13993072509766,91.06999969482422,91.08000183105469,89.80000305175781,90.23999786376953,8080200
2014-02-11,67.5197982788086,92.97000122070312,92.97000122070312,90.94999694824219,91.08999633789062,11556300
2014-02-12,67.12034606933594,92.41999816894531,92.98999786376953,91.94999694824219,92.94999694824219,7696100
2014-02-13,67.2220458984375,92.55999755859375,92.62000274658203,91.70999908447266,92.0,5926000
2014-02-14,67.36730194091797,92.76000213623047,92.94999694824219,92.02999877929688,92.5999984741211,5485100
2014-02-18,66.93879699707031,92.16999816894531,92.8499984741211,92.08999633789062,92.7699966430664,6926500
2014-02-19,66.55389404296875,91.63999938964844,92.75,91.56999969482422,92.1500015258789,7693400
2014-02-20,67.09129333496094,92.37999725341797,92.7300033569336,91.30999755859375,91.69000244140625,8160100
2014-02-21,66.94500732421875,91.5199966430664,92.25,91.44999694824219,91.86000061035156,7381500
2014-02-24,66.6451187133789,91.11000061035156,92.05999755859375,91.0999984741211,91.44999694824219,8406700
2014-02-25,66.6451187133789,91.11000061035156,91.87000274658203,90.66000366210938,91.58999633789062,6383400
2014-02-26,66.6451187133789,91.11000061035156,91.54000091552734,90.7699966430664,91.11000061035156,6334100
2014-02-27,66.8279800415039,91.36000061035156,91.41999816894531,90.75,91.16000366210938,7040300
